D13C,SAMP_HEIGHT,BIOSAMPLE,BIOHEIGHT,FIRST_OCCURRENCE,AGE,BIOSTRAT,,SEDRATE,NEWH,NEWBH,,
1.55,19.6,FU7,19.6,Gn. texanus,,NaN,,,,,,
2.39,20.3,FU8,80,Gn. praebilineatus,,,,,,,94,
1.51,20.9,FU9,93.1,G. bilineatus,,,,,,,99,
2.34,21.6,FU10,,,,,,,,,99,L. ziegleri
2.73,22.1,,,,,,,,,,,
1.92,22.4,,,,,,,,,,,
1.98,22.8,,,,,,,,,,,
2.36,23.1,,,,,,,,,,,
2.33,23.2,,,,,,,,,,,
2.07,23.6,,,,,,,,,,,
1.97,24,,,,,,,,,,,
2.1,24.4,,,,,,,,,,,
1.87,24.8,,,,,,,,,,,
1.74,25.1,,,,,,,,,,,
1.55,25.4,,,,,,,,,,,
1.89,25.8,,,,,,,,,,,
1.67,26.2,,,,,,,,,,,
1.6,26.6,,,,,,,,,,,
0.86,27.6,,,,,,,,,,,
1.87,28.6,,,,,,,,,,,
1.74,29.6,,,,,,,,,,,
1.57,30.6,,,,,,,,,,,
1.62,31.6,,,,,,,,,,,
1.72,32.6,,,,,,,,,,,
0.76,33,,,,,,,,,,,
1.04,33.2,,,,,,,,,,,
1.73,34,,,,,,,,,,,
1.89,34.3,,,,,,,,,,,
1.91,34.7,,,,,,,,,,,
1.58,35.9,,,,,,,,,,,
1.96,37,,,,,,,,,,,
1.65,37.6,,,,,,,,,,,
1.42,38.2,,,,,,,,,,,
1.84,38.5,,,,,,,,,,,
1.57,38.9,,,,,,,,,,,
1.64,40.2,,,,,,,,,,,
1.71,41.4,,,,,,,,,,,
1.64,42.1,,,,,,,,,,,
1.61,43,,,,,,,,,,,
1.65,43.8,,,,,,,,,,,
1.38,44.9,,,,,,,,,,,
1.52,45.2,,,,,,,,,,,
1.48,45.6,,,,,,,,,,,
1.8,46.5,,,,,,,,,,,
1.46,46.8,,,,,,,,,,,
3.5,47.3,,,,,,,,,,,
1.95,47.9,,,,,,,,,,,
2.12,48.3,,,,,,,,,,,
1.54,48.6,,,,,,,,,,,
-1.18,49.3,,,,,,,,,,,
-1.34,49.5,,,,,,,,,,,
0.56,49.6,,,,,,,,,,,
-1.6,49.8,,,,,,,,,,,
1.45,49.8,,,,,,,,,,,
-1.77,49.9,,,,,,,,,,,
-3.06,50,,,,,,,,,,,
-7.37,50.6,,,,,,,,,,,
1.73,50.6,,,,,,,,,,,
1.55,50.9,,,,,,,,,,,
1.22,51.3,,,,,,,,,,,
-1.57,52.1,,,,,,,,,,,
1.26,53.2,,,,,,,,,,,
1.3,54.4,,,,,,,,,,,
1.51,54.6,,,,,,,,,,,
1.63,54.9,,,,,,,,,,,
1.55,55.1,,,,,,,,,,,
1.02,55.5,,,,,,,,,,,
1.07,55.9,,,,,,,,,,,
1.21,56.5,,,,,,,,,,,
1.15,56.6,,,,,,,,,,,
1.24,57.6,,,,,,,,,,,
1.18,57.9,,,,,,,,,,,
1.49,58.8,,,,,,,,,,,
1.61,59.4,,,,,,,,,,,
2.03,60.1,,,,,,,,,,,
1.89,61.5,,,,,,,,,,,
1.37,62,,,,,,,,,,,
1.92,62.9,,,,,,,,,,,
1.72,63,,,,,,,,,,,
2.02,64.2,,,,,,,,,,,
1.7,64.4,,,,,,,,,,,
2.18,64.8,,,,,,,,,,,
1.92,65.5,,,,,,,,,,,
1.64,65.6,,,,,,,,,,,
1.92,66,,,,,,,,,,,
2.1,66.6,,,,,,,,,,,
1.9,67,,,,,,,,,,,
