SAMP_HEIGHT,D13C,LITH,BIOSAMPLE,BIOHEIGHT,FIRST_OCCURRENCE,AGE,SEDRATE,NEWH,NEWBH,NEWHC,Udet,UH,nUdet
0,3.118378501,Baleas,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1.133333333,0.2,
2,2.480559301,,Gorguera,8,Gn. texanus,,,,,,0.86,0.4,
4,2.140055032,,Canalon,19,Gn. praebilineatus,,,,,,1.16,0.6,
6,2.147532855,,Millaro,51,G. truyolsi,,,,,,1.016666667,0.8,
6.8,2.140758634,,Barcalienta,56,D. bernesgae,,,,,,0.746666667,1,
7.87,2.886069595,,,,,,,,,,0.833333333,1.2,
8,2.936914192,,,,,,,,,,1.343333333,1.4,
9,3.234874786,,,,,,,,,,0.796666667,1.6,
9.01,3.255614529,Gorguera,,,,,,,,,0.51,1.8,
10,3.004705699,,,,,,,,,,0.876666667,1.9,
10.9,2.841185012,,,,,,,,,,0.683333333,2.35,
11.05,2.962695722,,,,,,,,,,0.99,2.5,
19,3.246339688,,,,,,,,,,1.13,2.65,
21,3.274097608,,,,,,,,,,0.826666667,2.8,
22,3.340452701,Canalon,,,,,,,,,0.833333333,2.95,
22.9,3.368740074,,,,,,,,,,0.516666667,3.1,
24,3.448105882,,,,,,,,,,0.956666667,3.25,
25,3.553901482,,,,,,,,,,0.4,3.4,
26,3.388179948,,,,,,,,,,0.713333333,3.6,
26.01,3.353346827,,,,,,,,,,0.696666667,3.9,
27,3.66735086,,,,,,,,,,0.993333333,4.1,
28.1,3.498774116,,,,,,,,,,0.476666667,4.2,
29.95,3.410846191,,,,,,,,,,0.67,4.4,
31,3.301914625,,,,,,,,,,0.523333333,4.6,
33,3.457134046,,,,,,,,,,1.053333333,4.8,
34,3.256227007,,,,,,,,,,0.99,5.05,
36,2.947466727,,,,,,,,,,0.826666667,5.2,
37,3.142228052,,,,,,,,,,0.59,5.4,
38,3.160620864,,,,,,,,,,0.77,5.6,
39,3.284787382,,,,,,,,,,0.35,5.9,
39.01,3.324444885,,,,,,,,,,0.803333333,6.2,
40,2.740555607,,,,,,,,,,0.713333333,6.4,
40.9,3.099382272,,,,,,,,,,0.516666667,6.6,
41.9,3.669495946,SanAdrian,,,,,,,,,0.623333333,6.8,
43.1,3.489485769,,,,,,,,,,0.553333333,7,
44,3.95846497,,,,,,,,,,0.68,7.2,
44.3,3.945214626,,,,,,,,,,0.616666667,7.4,
45,3.865157577,,,,,,,,,,1.8,7.65,
45.6,4.083136948,,,,,,,,,,2.786666667,7.8,
46.1,3.982140868,,,,,,,,,,1.96,8,
47.1,3.98701161,,,,,,,,,,2.03,8.2,
47.2,3.972111969,,,,,,,,,,1.676666667,8.45,
48,3.762373227,,,,,,,,,,1.686666667,8.6,
48.9,3.951963596,,,,,,,,,,2.103333333,8.8,
50,3.699929113,,,,,,,,,,1.976666667,9,
51,3.978056226,,,,,,,,,,2.37,9.2,
52,3.154881381,,,,,,,,,,3.156666667,9.4,
53,3.833438779,Millaro,,,,,,,,,2.586666667,9.6,
54,2.892334526,,,,,,,,,,2.606666667,9.8,
55.5,4.246686636,,,,,,,,,,3.303333333,10,
56,4.529100193,,,,,,,,,,2.73,10.2,
57,4.636003315,,,,,,,,,,3.223333333,10.4,
57.1,4.566700292,Barcaliente,,,,,,,,,2.206666667,10.6,
57.9,4.597511145,,,,,,,,,,2.45,10.8,
59,4.636479575,,,,,,,,,,3.886666667,11,
60.7,4.257783261,,,,,,,,,,5.633333333,12.6,
61,4.508629617,,,,,,,,,,5.196666667,12.8,
61.14,4.552735424,,,,,,,,,,6.2,13,
61.32,4.603007308,,,,,,,,,,6.353333333,13.2,
61.6,4.58497147,,,,,,,,,,4.133333333,13.4,
62,4.129306818,,,,,,,,,,4.44,13.6,
62.25,4.527898996,,,,,,,,,,4.973333333,13.8,
62.85,4.273835531,,,,,,,,,,6.76,14,
62.89,4.241878987,,,,,,,,,,3.63,14.2,
64,3.720935774,,,,,,,,,,4.983333333,14.4,
65,3.803571149,,,,,,,,,,4.49,14.6,
65.85,4.598446717,,,,,,,,,,3.643333333,14.8,
67.15,4.85459079,,,,,,,,,,4.41,15,
68.1,5.095618781,,,,,,,,,,4.963333333,15.2,
68.9,5.064086579,,,,,,,,,,5.01,15.4,
70,4.814801132,,,,,,,,,,6.19,15.6,
71,5.15046499,,,,,,,,,,6.516666667,15.8,
72,5.059974361,,,,,,,,,,13.18666667,16,
73,5.031445295,,,,,,,,,,5.463333333,17.2,
73.1,5.024677176,,,,,,,,,,4.48,17.4,
74,5.12002455,,,,,,,,,,4.73,17.6,
74.9,5.09915585,,,,,,,,,,5.006666667,17.8,
76.7,5.110421104,,,,,,,,,,4.11,18,
77,5.081689415,,,,,,,,,,3.843333333,18.2,
77.12,5.441315502,,,,,,,,,,6.06,18.5,
77.3,5.126863724,,,,,,,,,,4.846666667,18.6,
77.45,5.335094611,,,,,,,,,,4.88,18.8,
77.7,5.250236012,,,,,,,,,,3.97,19,
78,5.056555293,,,,,,,,,,3.083333333,19.2,
79,5.065066281,,,,,,,,,,3,19.4,
79.1,5.04389119,,,,,,,,,,2.406666667,19.6,
80.15,4.504354781,,,,,,,,,,2.32,19.8,
81,4.903354189,,,,,,,,,,2.526666667,20,
82,4.8714086,,,,,,,,,,2.346666667,20.2,
83.95,4.554747667,,,,,,,,,,2.81,20.4,
84.95,4.550676651,,,,,,,,,,2.203333333,20.6,
86.6,4.674478673,,,,,,,,,,3.12,20.8,
87.6,4.645819567,,,,,,,,,,5.863333333,21,
88.6,4.144577603,,,,,,,,,,5.21,21.2,
89.6,4.387638319,,,,,,,,,,4.443333333,21.4,
91.6,4.278118272,,,,,,,,,,2.956666667,21.6,
91.7,4.264212739,,,,,,,,,,3.7,22.2,
92.6,4.448550281,,,,,,,,,,5.51,22.4,
94.6,4.445476083,,,,,,,,,,3.86,22.6,
95.6,4.248708522,,,,,,,,,,2.773333333,22.8,
96.6,4.345801515,,,,,,,,,,4.133333333,23,
97.6,4.403137377,,,,,,,,,,2.573333333,23.2,
98.6,4.54459303,,,,,,,,,,2.4,23.4,
99.6,4.673397915,,,,,,,,,,3.723333333,23.6,
100.6,4.603907583,,,,,,,,,,3.856666667,23.8,
101.6,4.385628241,,,,,,,,,,3.68,24,
102.6,4.559113382,,,,,,,,,,3.253333333,24.2,
102.7,4.552182954,,,,,,,,,,2.056666667,24.8,
103.6,4.576051609,,,,,,,,,,2.903333333,25,
104.6,4.454841563,,,,,,,,,,3.133333333,25.2,
105.4,4.540276307,,,,,,,,,,2.336666667,25.4,
106.6,4.327222859,,,,,,,,,,1.786666667,25.6,
110.6,4.251904463,,,,,,,,,,1.843333333,25.8,
111.6,4.295980097,,,,,,,,,,3.223333333,26,
113.6,4.272970312,,,,,,,,,,1.43,26.2,
113.75,4.326721558,,,,,,,,,,2.326666667,26.4,
113.8,4.260489807,,,,,,,,,,1.85,26.6,
113.9,4.027460158,,,,,,,,,,2.68,26.8,
113.91,4.003437915,,,,,,,,,,2.513333333,27.5,
114,4.392919829,,,,,,,,,,1.11,27.75,
115.6,NaN,,,,,,,,,,2.36,28,
116.6,3.48135589,,,,,,,,,,2.576666667,28.25,
117.6,4.105294927,,,,,,,,,,2.03,28.5,
118.6,4.264110171,,,,,,,,,,2.313333333,28.75,
118.82,4.204878525,,,,,,,,,,1.64,29,
118.95,4.209508779,,,,,,,,,,1.396666667,29.4,
119.05,4.235157048,,,,,,,,,,0.793333333,29.6,
119.16,4.38425922,,,,,,,,,,2.2,29.8,
119.6,4.07875653,,,,,,,,,,1.703333333,30,
119.7,4.091038881,,,,,,,,,,2.506666667,30.25,
119.93,4.271486137,,,,,,,,,,2.053333333,30.5,
120.6,4.234696624,,,,,,,,,,1.713333333,30.75,
122.6,4.293416787,,,,,,,,,,2.373333333,31,
123.6,4.336380365,,,,,,,,,,3.61,31.25,
124.6,4.254570334,,,,,,,,,,3.05,31.5,
126.1,4.403815395,,,,,,,,,,2.27,31.75,
129.6,4.139732167,,,,,,,,,,2.036666667,32,
129.7,4.182050804,,,,,,,,,,2.153333333,32.2,
133.6,3.998487486,,,,,,,,,,3.493333333,32.4,
133.85,4.113500955,,,,,,,,,,2.39,32.6,
134,3.866724609,,,,,,,,,,1.796666667,32.8,
134.01,3.827910692,,,,,,,,,,1.043333333,33,
134.25,4.122443861,,,,,,,,,,1.033333333,33.2,
134.6,4.231628328,,,,,,,,,,2.546666667,33.5,
135.6,4.357314767,,,,,,,,,,2.516666667,33.75,
137.6,4.433420813,,,,,,,,,,2.173333333,34,
138.6,4.210360308,,,,,,,,,,2.276666667,34.2,
148.6,NaN,,,,,,,,,,1.78,34.4,
141.6,4.590940437,,,,,,,,,,2.913333333,34.6,
143.6,4.621035918,,,,,,,,,,2.203333333,34.8,
144.6,4.484440191,,,,,,,,,,1.76,35,
146.6,4.594160987,,,,,,,,,,1.726666667,35.2,
146.7,4.574837689,,,,,,,,,,2.01,35.4,
148.6,4.593383613,,,,,,,,,,3.586666667,35.6,
149.6,4.373830967,,,,,,,,,,2.56,35.8,
150.6,4.682115309,,,,,,,,,,2.04,36,
151.6,4.690333263,,,,,,,,,,2.253333333,36.2,
154.6,4.943312993,,,,,,,,,,2.376666667,36.4,
156.7,4.891117877,,,,,,,,,,2.053333333,36.6,
158.6,4.986401727,,,,,,,,,,2.13,36.8,
159.6,4.971742673,,,,,,,,,,1.606666667,37,
160.6,4.489437595,,,,,,,,,,2.343333333,37.2,
161.6,4.777065998,,,,,,,,,,1.36,37.4,
161.7,4.758964287,,,,,,,,,,2.316666667,37.6,
161.85,4.752078974,,,,,,,,,,2.83,37.8,
162.25,4.711655523,,,,,,,,,,3.243333333,38,
162.75,4.609375307,,,,,,,,,,3.816666667,38.2,
163.15,4.754077936,,,,,,,,,,1.493333333,38.4,
163.6,4.737975188,,,,,,,,,,2.22,38.65,
165.3,4.15616623,,,,,,,,,,1.64,38.85,
,,,,,,,,,,,1.68,39,
,,,,,,,,,,,1.36,39.3,
