THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOR,FEATURES,BEDFORMS,SAMPLE,BIOSTRAT,LAYER,D13C,STDC,D18O,STDO,SAMP_HEIGHT,BIOZONE,LITHOZONE,BIOSAMPLE,BIOLAYER,BIOHEIGHT,FIRST_OCCURRENCE,Olleros,SEDRATE,NEWH,NEWBH,NEWHC
0.15,lsgs,gs,gr,,,OLL1-4.88,,11,2.383863746,0.063035666,-2.518261188,0.082121962,4.88,0,1,NaN,NaN,NaN,NaN,,,,,
0.63,sh,f,gr,,,OLL1-5.18,,13,2.994799944,0.092654118,-2.066322171,0.314408939,5.18,0,1,Olleros1,1,0.07,,,,,,
3.73,sh,f,b,ash,,OLL1-5.48,,13,2.822804302,0.087956853,-2.057715729,0.178883452,5.48,0,1,Olleros4,1,0.15,,,,,,
0.04,ash,f,g,ash,,OLL1-5.78,,13,3.359636245,0.077227282,-1.179721884,0.306461916,5.78,0,1,Olleros3,4,4.52,,,,,,
0.05,sstn,med,gr,,,OLL1-6.08,,13,2.386799579,0.207226464,-3.668751798,0.416170379,6.08,0,2,OL1-J5234,11,4.88,,,,,,
0.02,sh,f,gr,,,OLL1-6.33,,13,2.955114965,0.055150217,-2.364560494,0.143846816,6.33,0,2,OLII,14,5.5,Sc. anchoralis,,,,,
0.07,sstn,med,,,,OLL1-6.60,,14,3.25455309,0.087294961,-2.300093072,0.122176399,6.6,0,3,OLIII,,6.6,Gn. texanus,,,,,
0.02,sh,f,,,,OLL1-6.95,,14,3.49281409,0.093735675,-2.517735513,0.177825855,6.95,1,3,KANT 6a,,8.62,Gn. praebilineatus,,,,,
0.09,lsw,sw,,,,OLL1-7.27,,14,3.605774602,0.056502866,-1.712981583,0.112154858,7.27,1,3,OL15,22,12.95,,,,,,
0.02,sh,f,,,,OLL1-7.71,,15,3.663539457,0.086369198,-1.772400145,0.169274351,7.71,1,3,OL16,22,13.52,,Gn. b. bilineatus,,,,
