THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOR,FEATURES,BEDFORMS,SAMPLE,BIOSTRAT,LAYER,D13C,STDC,D18O,STDO,SAMP_HEIGHT,BIOZONE,AGE,BIOSAMPLE,BIOLAYER,BIOHEIGHT,Sotres,FIRST_OCCURRENCE,,SEDRATE,NEWH,NEWBH,NEWHC
0.1,mi,f,red,intdb sh,,VS1-0.05,,1,2.734332812,0.064757317,-11.61011621,0.171789521,0.05,,,NaN,NaN,NaN,,NaN,,,,,
0.75,ls,swack,red,"intbd sh, crinoids",2nod,VS1-0.11,,2,2.807101356,0.082347893,-11.53405802,0.100343859,0.11,,,A,,2.16,,,,,,,
0.13,mi,f,red,intbd sh,,VS1-0.50,,2,NaN,NaN,NaN,NaN,0.5,,,VS-9,,3.75,,,,,,,
0.18,mi,f,red,crinoids,2nod,VS1-0.82,,2,2.90432929,0.102998901,-10.03203966,0.190211048,0.82,,,VSC-1B9,,4.5,,,Gn. bilineatus,,,,
0.17,mi,f,red,,1nod,VS1-0.90,,3,2.95416841,0.090500831,-9.262088394,0.245353198,0.9,,,SC-8,,5.1,,,L. multinodosa,,,,
0.18,ls,swack,2g,fossiliferous,,VS1-1.01,,4,3.111591935,0.098702278,-8.277069419,0.128855988,1.01,,,114,,5.38,,L. nodosa,,,,,
0.37,ls,swack,2g,crinoids,1nod,VS1-1.29,,5,3.192907157,0.136089175,-7.22088666,0.335860419,1.29,,,111,,6.19,,,,,,,
0.08,mi,f,2g,black wisps and grains,3nod,VS1-1.61,,7,3.203091767,0.108375017,-10.9532923,0.239893716,1.61,,,VSC-1B4,,8.44,,,,,,,
0.35,mi,f,red,qtz. Grains,2nod,VS1-1.91,,8,3.111876737,0.108408401,-13.27352965,0.197003043,1.91,,,VSB-4,,9.89,,,,,,,
0.22,mi,f,red,,,VS1-2.10,,9,2.844511494,0.057543137,-12.71006885,0.170847509,2.1,,,VSB-7,,10.31,,,,,,,
0.45,mi,f,1g,"mott, sh partings",1nod,VS1-2.16,A,10,2.98527207,0.049743192,-13.35530258,0.315928325,2.16,,,VSB-2,,10.51,,,,,,,
0.25,mi,f,red,"criniods, sh partings, top is fault we traced",3nod,VS1-2.47,,11,3.210421863,0.08987251,-11.51896113,0.237189702,2.47,,,1B6,VSF110,6.2,,,,,,,
0.12,mi,f,red,,,VS1-2.70,,12,3.283622795,0.082377068,-12.21365814,0.140127242,2.7,,,VSC-1B3B,,6.67,,,,,,,
1.73,mi,f,red,sparse crinoids,1nod,VS1-2.98,,12,3.224648716,0.029372676,-11.07141567,0.192767097,2.98,,,1B4F,,7.12,,,,,,,
0.25,mi,f,red,,2nod,VS1-3.17,,12,3.294617563,0.081841607,-12.79691701,0.129118814,3.17,,,VSB-1B.40,,7.46,,,,,,,
0.3,ls,swack,red,mott,,VS1-3.25,,13,NaN,NaN,NaN,NaN,3.25,,,VSC-1B4C,,8.21,,,,,,,
0.28,mi,f,red,sparse crinoids,,VS1-3.42,,14,3.281917315,0.056522369,-12.13112452,0.207211357,3.42,,,VSC-9B4A,,8.38,,,,,,,
0.17,mi,f,red,mott,,VS1-3.55,,15,3.27160131,0.073090778,-12.56452697,0.075527045,3.55,,,VSC-1B4,,8.45,,L. ziegleri,Asturtaphurs,,,,
0.64,mi,f,2g/pink,sparse crinoids,,VS1-3.75,VS-9,15,NaN,NaN,NaN,NaN,3.75,,,1B3,,9.17,,,,,,,
0.26,mi,f,2g,10cm red shale bands,,VS1-3.95,,15,3.342640395,0.080577268,-11.12299314,0.165048741,3.95,,,1B2,,9.53,,,,,,,
0.36,mi,f,1g,,2nod,VS1-4.45,,15,3.389620468,0.098227135,-11.51906757,0.304390852,4.8,,,1B1,,9.73,,,,,,,
0.11,ls,gs,2g,breccia,,VS1-4.80,,16,3.373404948,0.094457967,-10.92550053,0.182105865,4.94,,,VSB-4,,9.89,,,,,,,
0.12,mi,f,2g,banded,,VS1-4.85,,17,3.334054455,0.085670066,-12.09728199,0.200585104,4.85,,,1B,,9.97,,,,,,,
0.16,mi,f,2g,mott,,VS1-5.00,,17,3.456338184,0.05548581,-11.81652522,0.238612168,5,,,Tarusian,,10.05,,,,,,,
1.1,mi,f,1g,mott,1nod,VS1-5.1,SC-8,17,3.580068952,0.075287047,-10.63206546,0.094322455,5.1,,,VSC-1A,,10.15,,,Tarusian,,,,
0.16,mi,f,2g,shale partings,,VS1-5.53,,18,3.571687363,0.108693522,-10.7541437,0.146104154,5.53,,,VSC-210,,10.45,,,,,,,
0.6,mi,f,pink,"shale partings, hardground",2nod,VS1-5.57,,19,3.456338184,0.05548581,-11.81652522,0.238612168,5.57,,,VSB-2,,10.51,,,,,,,
0.1,mi,f,red,hardground,,VS1-5.37,,19,3.537660081,0.095402088,-11.56208369,0.117132662,5.37,,,VSC-29,,10.54,,,,,,,
1.28,ls,swack,1g,hardground,crinoids,VS1-5.87,,19,3.557623474,0.089024671,-10.5196067,0.113684108,5.87,,,VSC-28,,10.62,,,,,,,
0.2,mi,f,1g,"mott, shale",2nod,VS1-6.20,1B6,20,3.515930966,0.036877974,-11.26596605,0.148455022,6.2,,,VSC-25,,10.85,,,,,,,
0.1,ls,fwack,2g,,,VS2-0.4,,20,3.766189888,0.062948133,-9.955843553,0.165403818,6.6,,,VSC-24,,10.93,,,,,,,
0.22,mi,f,pink,,,VS2-0.47,,21,NaN,NaN,NaN,NaN,6.67,,,VSC-23,,11.03,,,,,,,
0.32,ls,fgs,2g,,,VS2-0.58,,22,NaN,NaN,NaN,NaN,6.78,,,VSC-22,,11.13,,,,,,,
0.03,cover,cover,,,,VS2-0.72,,23,3.866245575,0.05802545,-11.33376595,0.207676639,6.92,,,VSC-2AB1,,11.65,,,,,,,
0.36,ls,fgs,2g,,,VS2-0.92,,23,NaN,NaN,NaN,NaN,7.12,,,2AB2-5.63,,11.83,,,,,,,
0.04,sh,f,2g,,,VS2-0.90,,24,3.729042723,0.066261378,-10.69122252,0.1593902,7.1,,,2B,,12,,,,,,,
0.11,ls,fgs,2g,,,VS2-1.07,,25,3.622964571,0.105124484,-11.16695618,0.178314259,7.27,,,Steshevian,,12.45,,,,,,,
0.03,cover,cover,,,,VS2-1.26,,25,NaN,NaN,NaN,NaN,7.46,,,2B1,,12.66,,,"~327.8Ma according to Davydov, Steshevian",,,,
0.23,ls,fgs,2g,,,VS2-1.38,,25,3.465077081,0.036116465,-10.09486838,0.158759851,7.58,,,VSC-32,,12.92,,,,,,,
0.32,ls,fgs,2g,breccia,,VS2-1.64,,25,3.705623913,0.099935058,-11.68551984,0.252286632,7.84,,,VSC-33A,,13.36,,,,,,,
0.02,cover,cover,,,,VS2-1.94,,19,3.732063901,0.083365993,-9.362453988,0.149147572,8.14,,,VSC-33B,,13.72,,,,,,,
0.39,ls,fgs,2g,,,VS2-2.01,,26,NaN,NaN,NaN,NaN,8.21,,,3A,,14.5,,,,,,,
0.01,cover,cover,,,,VS2-2.18,,27,NaN,NaN,NaN,NaN,8.38,,,4,,15.4,,,VSC 3A,,,,
0.59,ls,fgs,2g,,,VS2-2.36,,27,NaN,NaN,NaN,NaN,8.56,,,5,,16.5,,,,,,,
1.6,ls,gs,2g,some coated grains,,Vs2-2.77,,27,3.240353667,0.032056412,-9.699889303,0.227465826,8.97,,,6A,,17.12,,,,,,,
