SAMPLE,LAYER,D13C,STDC,D18O,STDO,SAMP_HEIGHT,BIOSAMPLE,BIOHEIGHT,FIRST_OCCURRENCE
VS1-0.05,1,2.734332812,0.064757317,-11.61011621,0.171789521,0.05,A,2.16,
VS1-0.11,2,2.807101356,0.082347893,-11.53405802,0.100343859,0.11,VS-9,3.75,
VS1-0.50,2,NaN,NaN,NaN,NaN,0.5,VSC-1B9,4.5,
VS1-0.82,2,2.90432929,0.102998901,-10.03203966,0.190211048,0.82,SC-8,5.1,
VS1-0.90,3,2.95416841,0.090500831,-9.262088394,0.245353198,0.9,114,5.38,L. nodosa
VS1-1.01,4,3.111591935,0.098702278,-8.277069419,0.128855988,1.01,111,6.19,
VS1-1.29,5,3.192907157,0.136089175,-7.22088666,0.335860419,1.29,VSC-1B4,8.44,
VS1-1.61,7,3.203091767,0.108375017,-10.9532923,0.239893716,1.61,VSB-4,9.89,
VS1-1.91,8,3.111876737,0.108408401,-13.27352965,0.197003043,1.91,VSB-7,10.31,
VS1-2.10,9,2.844511494,0.057543137,-12.71006885,0.170847509,2.1,VSB-2,10.51,
VS1-2.16,10,2.98527207,0.049743192,-13.35530258,0.315928325,2.16,1B6,6.2,
VS1-2.47,11,3.210421863,0.08987251,-11.51896113,0.237189702,2.47,VSC-1B3B,6.67,
VS1-2.70,12,3.283622795,0.082377068,-12.21365814,0.140127242,2.7,1B4F,7.12,
VS1-2.98,12,3.224648716,0.029372676,-11.07141567,0.192767097,2.98,VSB-1B.40,7.46,
VS1-3.17,12,3.294617563,0.081841607,-12.79691701,0.129118814,3.17,VSC-1B4C,8.21,
VS1-3.25,13,NaN,NaN,NaN,NaN,3.25,VSC-9B4A,8.38,
VS1-3.42,14,3.281917315,0.056522369,-12.13112452,0.207211357,3.42,VSC-1B4,8.45,L. ziegleri
VS1-3.55,15,3.27160131,0.073090778,-12.56452697,0.075527045,3.55,1B3,9.17,
VS1-3.75,15,NaN,NaN,NaN,NaN,3.75,1B2,9.53,
VS1-3.95,15,3.342640395,0.080577268,-11.12299314,0.165048741,3.95,1B1,9.73,
VS1-4.45,15,3.389620468,0.098227135,-11.51906757,0.304390852,4.8,VSB-4,9.89,
VS1-4.80,16,3.373404948,0.094457967,-10.92550053,0.182105865,4.94,1B,9.97,
VS1-4.85,17,3.334054455,0.085670066,-12.09728199,0.200585104,4.85,Tarusian,10.05,
VS1-5.00,17,3.456338184,0.05548581,-11.81652522,0.238612168,5,VSC-1A,10.15,
VS1-5.1,17,3.580068952,0.075287047,-10.63206546,0.094322455,5.1,VSC-210,10.45,
VS1-5.53,18,3.571687363,0.108693522,-10.7541437,0.146104154,5.53,VSB-2,10.51,
VS1-5.57,19,3.456338184,0.05548581,-11.81652522,0.238612168,5.57,VSC-29,10.54,
VS1-5.37,19,3.537660081,0.095402088,-11.56208369,0.117132662,5.37,VSC-28,10.62,
VS1-5.87,19,3.557623474,0.089024671,-10.5196067,0.113684108,5.87,VSC-25,10.85,
VS1-6.20,20,3.515930966,0.036877974,-11.26596605,0.148455022,6.2,VSC-24,10.93,
VS2-0.4,20,3.766189888,0.062948133,-9.955843553,0.165403818,6.6,VSC-23,11.03,
VS2-0.47,21,NaN,NaN,NaN,NaN,6.67,VSC-22,11.13,
VS2-0.58,22,NaN,NaN,NaN,NaN,6.78,VSC-2AB1,11.65,
VS2-0.72,23,3.866245575,0.05802545,-11.33376595,0.207676639,6.92,2AB2-5.63,11.83,
VS2-0.92,23,NaN,NaN,NaN,NaN,7.12,2B,12,
